Region	Country	State	City	Month	Day	Year	dt	temp	t_imp
North America	US	Hawaii	Honolulu	1	1	1995	1995-01-01	71.3	71.3
North America	US	Hawaii	Honolulu	1	2	1995	1995-01-02	72.5	72.5
North America	US	Hawaii	Honolulu	1	3	1995	1995-01-03	73.2	73.2
North America	US	Hawaii	Honolulu	1	4	1995	1995-01-04	71.9	71.9
North America	US	Hawaii	Honolulu	1	5	1995	1995-01-05	70.4	70.4
North America	US	Hawaii	Honolulu	1	6	1995	1995-01-06	73.6	73.6
North America	US	Hawaii	Honolulu	1	7	1995	1995-01-07	68.7	68.7
North America	US	Hawaii	Honolulu	1	8	1995	1995-01-08	69.5	69.5
North America	US	Hawaii	Honolulu	1	9	1995	1995-01-09	71	71
North America	US	Hawaii	Honolulu	1	10	1995	1995-01-10	72.9	72.9
North America	US	Hawaii	Honolulu	1	11	1995	1995-01-11	76.2	76.2
North America	US	Hawaii	Honolulu	1	12	1995	1995-01-12	73.9	73.9
North America	US	Hawaii	Honolulu	1	13	1995	1995-01-13	72.5	72.5
North America	US	Hawaii	Honolulu	1	14	1995	1995-01-14	73.9	73.9
North America	US	Hawaii	Honolulu	1	15	1995	1995-01-15	73.1	73.1
North America	US	Hawaii	Honolulu	1	16	1995	1995-01-16	74.1	74.1
North America	US	Hawaii	Honolulu	1	17	1995	1995-01-17	75.3	75.3
North America	US	Hawaii	Honolulu	1	18	1995	1995-01-18	74.4	74.4
North America	US	Hawaii	Honolulu	1	19	1995	1995-01-19	73.6	73.6
North America	US	Hawaii	Honolulu	1	20	1995	1995-01-20	72.5	72.5
North America	US	Hawaii	Honolulu	1	21	1995	1995-01-21	72.4	72.4
North America	US	Hawaii	Honolulu	1	22	1995	1995-01-22	75.7	75.7
North America	US	Hawaii	Honolulu	1	23	1995	1995-01-23	76.1	76.1
North America	US	Hawaii	Honolulu	1	24	1995	1995-01-24	73.9	73.9
North America	US	Hawaii	Honolulu	1	25	1995	1995-01-25	72.1	72.1
North America	US	Hawaii	Honolulu	1	26	1995	1995-01-26	76.6	76.6
North America	US	Hawaii	Honolulu	1	27	1995	1995-01-27	74.8	74.8
North America	US	Hawaii	Honolulu	1	28	1995	1995-01-28	77	77
North America	US	Hawaii	Honolulu	1	29	1995	1995-01-29	77.4	77.4
North America	US	Hawaii	Honolulu	1	30	1995	1995-01-30	77.9	77.9
North America	US	Hawaii	Honolulu	1	31	1995	1995-01-31	73.4	73.4
North America	US	Hawaii	Honolulu	2	1	1995	1995-02-01	75.1	75.1
North America	US	Hawaii	Honolulu	2	2	1995	1995-02-02	73.2	73.2
